factor,PSNR,CR,BPP,MSE,Entropy
0.2,39.24882647908484,2.7182223051757837,2.9430999755859375,7.730323314666748,0.9971957957283073
0.2,37.045791199227565,1.6047757685454098,4.985120137532552,12.838114738464355,0.9976633813176228
0.2,36.598060286131386,1.601512659204174,4.995277404785156,14.232276916503906,0.9971659904826261
0.2,38.13193674004194,2.4839728050157532,3.220647176106771,9.997391700744629,0.9972965674455332
0.2,37.568820175720774,1.9348943404675147,4.134592692057292,11.381470680236816,0.9973781490237028
0.2,37.65320769488702,2.114460977562325,3.7834701538085938,11.162449836730957,0.9975136132381041
0.2,37.35653831368001,2.0182272068489646,3.9638748168945312,11.951613426208496,0.9972553804775594
0.2,37.571073945033035,2.1301523197373715,3.7555999755859375,11.375564575195312,0.9971989312759872
0.2,37.41465452300988,2.0900000199317934,3.8277511596679688,11.792744636535645,0.9972106585151193
0.2,38.28470921550731,2.4163929489917253,3.3107198079427085,9.651823997497559,0.9976307378957012
0.2,35.728693813806814,1.4473744629965082,5.527249654134114,17.386455535888672,0.9975433555261277
0.2,37.04247985782111,1.7199921265008857,4.65118408203125,12.847908020019531,0.9975051253213334
0.2,38.85262606467513,2.726749331472581,2.9338963826497397,8.468718528747559,0.9970611789310635
0.2,36.469352160557946,1.789759596182578,4.4698740641276045,14.660377502441406,0.9974063968689477
0.2,38.484650508242034,2.6859842003340266,2.978424072265625,9.217545509338379,0.9976384775352649
0.2,38.03319880821047,2.2677552256236684,3.5277175903320312,10.227287292480469,0.9976327534814576
0.2,38.19903247593974,2.464351939258578,3.2462895711263022,9.844124794006348,0.9972868684454959
0.2,38.96693425184391,2.5568580276515673,3.128840128580729,8.248726844787598,0.9972706875930022
0.2,37.33770774214935,1.838550120018726,4.351254781087239,12.003546714782715,0.9972202258681675
0.2,38.5639821955068,2.5255998015313876,3.1675643920898438,9.050700187683105,0.99733867351173
0.2,39.09344011706583,2.858775545813431,2.79840087890625,8.011916160583496,0.9976733967584357
0.2,37.08646727042468,1.7903218646454275,4.4684702555338545,12.71843433380127,0.9973373927111584
0.2,38.50695845746706,2.687673227229697,2.9765523274739585,9.170321464538574,0.9968602687429394
0.2,37.983464547746834,2.1902111515477274,3.6526158650716147,10.345081329345703,0.9973469376315627
0.5,37.87016350998142,4.745353420615562,1.6858596801757812,10.61851978302002,0.9971312487513526
0.5,33.18636829626138,2.5230899536083466,3.17071533203125,31.22076416015625,0.9971177402374931
0.5,32.68495291437186,2.5939784151779826,3.0840657552083335,35.04169464111328,0.9975730490325545
0.5,35.57113429498547,4.350209715939656,1.8389918009440105,18.02880096435547,0.9978034732485492
0.5,34.65086360087317,3.2720044684509264,2.4449844360351562,22.28404426574707,0.9971994245711154
0.5,34.51944269225457,3.51771196997721,2.274205525716146,22.968679428100586,0.9974681469076293
0.5,33.96836515175381,3.3584201035798134,2.3820724487304688,26.076173782348633,0.9976952499961349
0.5,34.69031529360199,3.6856715039917893,2.170567830403646,22.082529067993164,0.9972541557256462
0.5,34.12062880596245,3.6362930185460045,2.200042724609375,25.177780151367188,0.9974370826585844
0.5,35.99679353905838,4.117186354783993,1.9430745442708333,16.345605850219727,0.9974715368063436
0.5,30.869832514007566,2.340792619540686,3.4176457722981772,53.22273254394531,0.9970826223538547
0.5,33.507833407307004,2.8420621820359995,2.8148574829101562,28.993255615234375,0.9970789185102618
0.5,36.28794988419193,4.792190461101598,1.6693827311197917,15.285700798034668,0.9971785761737078
0.5,32.498303398168694,2.981557481929972,2.683161417643229,36.58053970336914,0.9975670672705996
0.5,36.68515077566682,4.774044918753785,1.6757278442382812,13.949713706970215,0.9973197191394811
0.5,35.847006520031385,3.851995165609705,2.0768458048502603,16.919193267822266,0.9972452016382141
0.5,35.89501844094048,4.301267930905764,1.8599166870117188,16.733182907104492,0.9972031065529041
0.5,36.938670687831774,4.252914837007073,1.8810628255208333,13.158707618713379,0.9974683891896867
0.5,33.62143411056127,3.012027127823062,2.6560185750325522,28.244699478149414,0.9975710268328257
0.5,36.57721357540119,4.487051184763818,1.7829081217447917,14.300755500793457,0.9968534147515613
0.5,37.21120121679048,4.884549452187524,1.6378173828125,12.358342170715332,0.9973069391704418
0.5,33.7865752699969,2.9293841894560986,2.7309494018554688,27.190855026245117,0.9973327135877252
0.5,36.68057432199716,5.003130009924422,1.5989990234375,13.964421272277832,0.9968799902091949
0.5,35.75553348661958,3.7467564409644267,2.1351801554361978,17.279333114624023,0.9964173121433535
1.0,36.40030238759841,7.040462660611852,1.1362889607747395,14.895329475402832,0.9975116207855184
1.0,30.391584040496582,3.7220898987281563,2.1493301391601562,59.41853713989258,0.9973149505354588
1.0,29.91271317905494,3.874955962602087,2.064539591471354,66.34512329101562,0.9974195564477949
1.0,33.54324056357237,6.7899760409246905,1.1782073974609375,28.757841110229492,0.9964481454609326
1.0,32.661361625375434,5.076473208234087,1.575897216796875,35.23256301879883,0.996806723133121
1.0,32.17316480466834,5.352581150683253,1.4946060180664062,39.42428970336914,0.997226669209244
1.0,31.451773549307806,5.125931864511178,1.5606918334960938,46.5482063293457,0.996878862446243
1.0,32.66454664035406,5.768612075889664,1.3868153889973958,35.20673370361328,0.996647777046586
1.0,31.845536755698177,5.687304967872808,1.4066416422526042,42.51347732543945,0.9972828767243826
1.0,34.061297978584584,6.216472903833955,1.2869033813476562,25.52410125732422,0.9969034018196754
1.0,27.888285792935726,3.603828683045304,2.2198613484700522,105.74303436279297,0.9970882531808981
1.0,31.016777059609517,4.345330299903444,1.8410568237304688,51.45204544067383,0.9971213274182493
1.0,34.177147302794765,7.439171356950291,1.0753885904947917,24.852243423461914,0.9960071486538479
1.0,30.053885488445715,4.579741118887024,1.7468236287434895,64.22318267822266,0.9967243823487457
1.0,34.967846598267855,7.420202339476484,1.078137715657552,20.715517044067383,0.9970666787549263
1.0,34.19255026538845,5.935167872607379,1.3478978474934895,24.764265060424805,0.9967367569995582
1.0,33.90250191102963,6.682474301264172,1.197161356608073,26.474647521972656,0.996403167172771
