Q,PSNR,CR,BPP,MSE,Entropy
2,43.855322074298,1.5293500727609306,9.41854123798952,3.861620735812497,0.9960385093877189
5,40.99722043603315,2.2903130107085015,5.62014759907736,6.156755373075411,0.9945136962635914
10,37.90011659808832,3.613439353371872,3.279847652123125,11.633568107307731,0.9936847197846093
20,34.5799720524661,6.467033544096896,1.7670329616348392,24.83404607896681,0.9925890607386331
40,31.325187399768488,13.367248654832018,0.8648153937004007,53.68429201299494,0.9912213478291617
80,28.32801269343023,32.85915228812405,0.36594058070000446,108.4602878124683,0.9898984050289296
120,26.56624810087726,59.52198781608845,0.20842755822886017,161.96242617322252,0.9896713487981722
160,25.365326417679217,89.68960369083288,0.13981173718345877,211.0109664619743,0.9899201149414963
