Q,PSNR,CR,BPP,MSE,Entropy
2,40.802965809788894,0.6010155359510966,13.310804,5.40485143661499,0.9976266337620281
2,40.95137643737005,0.772109549991391,10.361224,5.223272323608398,0.9954915312710473
2,41.15104000072712,1.0254900945348044,7.801148,4.988572597503662,0.997831734569284
2,40.816721241717644,0.9083048125622188,8.807616,5.387759685516357,0.9960088411013734
2,41.174709391098474,1.004210655277579,7.966456,4.961459636688232,0.9964382354502164
2,40.89991399875926,0.7806693771507441,10.247616,5.285534381866455,0.9967632051997952
2,40.95130045844839,0.9885388802226981,8.092752,5.223363876342773,0.9962051470292336
2,41.28582277133296,1.0680303277891878,7.490424,4.836132049560547,0.9961350454663062
2,40.71866686317436,1.2248950111863537,6.531172,5.510787487030029,0.993492493575726
2,40.694904826338544,1.0553527226253376,7.580404,5.541021823883057,0.9950771135488035
2,41.89515209628037,1.2208268171701966,6.552936,4.2030558586120605,0.9960046113601229
2,41.04171214866916,0.6609295776230395,12.104164,5.115747928619385,0.9975125713622708
2,40.80377406542908,1.0623859595071592,7.53022,5.403846263885498,0.995078264683672
2,40.92860004367357,1.0132246075781095,7.895584,5.250738143920898,0.9955396476176934
2,40.838513914874,0.8228722272806006,9.722044,5.36079216003418,0.9963585689003522
2,41.12671469834453,0.761195183004643,10.509788,5.016592979431152,0.9973895622565787
2,40.841783127257656,0.9046220760352948,8.843472,5.356759548187256,0.9966795348123113
2,40.79464549421627,0.7094492970776365,11.276352,5.415216445922852,0.9972815425412853
5,38.982484571315524,0.9719103334964523,8.231212,8.219244956970215,0.996783757086299
5,39.462881305926196,1.4908173107742857,5.366184,7.358549118041992,0.9960388224494163
5,39.86849361584463,1.8126680116663314,4.413384,6.7024102210998535,0.9976604939529303
5,39.64769974670618,1.8040707051390759,4.434416,7.051969051361084,0.9950519583339523
5,40.24677628192258,2.007091052689151,3.985868,6.143313884735107,0.9962521390659203
5,39.45297974540159,1.3909153753176502,5.751608,7.375345706939697,0.9955453502590661
5,39.86774984119861,2.0252877427560523,3.950056,6.703557968139648,0.9962430592151654
5,40.025643077640105,1.9530944828987047,4.096064,6.464219093322754,0.9965092820184894
5,39.72777098603438,3.4514595359512654,2.31786,6.923142910003662,0.9930665699585012
5,39.64556779275708,2.4133894848620145,3.31484,7.055431842803955,0.9948453148172605
5,40.86998865340269,2.502712314470808,3.196532,5.322080612182617,0.9958496747948522
5,39.66704784544882,1.0919051068947803,7.326644,7.020621299743652,0.9962078579852353
5,39.61029324084035,2.349392212234695,3.405136,7.112970352172852,0.995952895710265
5,39.82388044384726,2.150886864426375,3.719396,6.771615982055664,0.9961168045704255
5,39.38131768761272,1.5226517284381096,5.253992,7.4980549812316895,0.9963166206002341
5,39.53980831235467,1.3002548499505904,6.15264,7.2293548583984375,0.9969074182009044
5,39.533024685726105,1.7923379345635344,4.463444,7.240655899047852,0.9965534033763042
5,39.27528529535693,1.2208901632269105,6.552596,7.6833720207214355,0.9969298693780242
10,36.24767298179778,1.498771756545511,5.337704,15.428123474121094,0.9963225618669826
10,37.36835290885307,2.6296136571614896,3.042272,11.919140815734863,0.9955509841777608
10,37.786490870086084,2.844440399018099,2.812504,10.825085639953613,0.9965951454738815
10,37.98930337540107,3.1087470816636773,2.573384,10.331183433532715,0.9948376915550883
10,38.72080088138208,3.506452749672585,2.281508,8.729718208312988,0.9960909579485493
10,37.24599795418882,2.259164583528657,3.541132,12.259720802307129,0.9945446653428047
10,38.22991028478975,3.5338498643885115,2.26382,9.774382591247559,0.995621888200609
10,37.99280949808772,2.9264838004489224,2.733656,10.322846412658691,0.9963046206366377
10,38.66413230743714,8.1183657729699,0.98542,8.844374656677246,0.9938964900524794
10,38.33960169719879,4.3698845039525605,1.830712,9.530598640441895,0.9943803855651809
10,39.44578709718867,4.039620598833357,1.980384,7.387570858001709,0.9943954499615861
10,37.29197189337543,1.7020421953280644,4.700236,12.13062572479248,0.9964916382620115
10,38.0790201755504,4.601138781848507,1.7387,10.119949340820312,0.9959120348113639
10,38.30782027162206,4.068778634029637,1.966192,9.600600242614746,0.9953543688951233
10,37.308989872487025,2.54390784948206,3.144768,12.083183288574219,0.9961635159871414
10,37.17957942779956,2.0473658079673243,3.90746,12.448655128479004,0.995818531577646
10,37.68722469628201,3.0955247997969337,2.584376,11.075362205505371,0.9956356676687461
10,36.9438275532747,1.9968948285416177,4.00622,13.143095016479492,0.9964258340287389
20,32.75698304107997,2.5289405635744044,3.16338,34.46530532836914,0.995782283234828
20,34.66318256288953,4.785833931562575,1.6716,22.220924377441406,0.9946623052996117
20,34.68795362378203,4.62209732288123,1.730816,22.09454345703125,0.9952297932895064
20,35.539105136511374,5.373758325966806,1.488716,18.16225814819336,0.9941348586523959
20,36.41043371704925,6.462745503544816,1.237864,14.860621452331543,0.9947176654034777
20,34.152583879579964,3.920715295298474,2.040444,24.993209838867188,0.994557028992517
20,35.82897328937596,6.362618344701211,1.257344,16.989595413208008,0.9953750824226415
20,34.21020897768279,4.484576420545638,1.783892,24.663772583007812,0.993123987827728
20,37.55116135795858,14.935627445708993,0.535632,11.42784309387207,0.9923030057188853
20,36.50822732241402,7.071585661652913,1.131288,14.529733657836914,0.9938969855610198
20,36.90116952891198,6.573239029264061,1.217056,13.2728271484375,0.9946798407019006
20,34.03527223217486,2.87771026349754,2.779988,25.67752456665039,0.9956274036089101
20,36.265168395525635,8.913291500285226,0.897536,15.366097450256348,0.9939446511879609
20,36.385560212544384,8.033451291176458,0.995836,14.945977210998535,0.9943540682066387
20,34.427556316296695,4.464006713866097,1.792112,23.45982551574707,0.9951522232712805
20,33.773369127665035,3.2307254917164197,2.476224,27.273662567138672,0.9964752255707943
20,35.160364211977026,5.6162264013186896,1.424444,19.817277908325195,0.9946235248060847
20,34.00765054044897,3.5983001630029974,2.223272,25.841352462768555,0.9953336818372613
40,29.285879728446123,4.835940711366879,1.65428,76.64652252197266,0.9937181603360528
40,31.47743648965479,9.137844382510165,0.87548,46.27396774291992,0.9935692989238236
40,31.12843909763864,7.844829276902861,1.01978,50.14601135253906,0.9952406857272248
40,32.490568781795794,9.642457669610831,0.829664,36.64573669433594,0.9939168105038465
40,33.66042010597659,13.150108488395029,0.60836,27.992284774780273,0.9929099116911533
40,30.731539336310043,7.761082826275922,1.030784,54.94477081298828,0.9930159536633815
40,32.83786969167261,12.712699351016699,0.629292,33.82932662963867,0.9935398897120893
40,30.38191757831529,8.840599569462801,0.904916,59.55094909667969,0.9926445581633901
40,34.6654947822457,28.83298493476537,0.27746,22.20909881591797,0.9924484226271048
40,33.260180082965384,12.476606363069244,0.6412,30.694625854492188,0.9940897304303684
40,33.18864997818117,11.554415519890926,0.692376,31.204364776611328,0.9941434987945599
40,30.514474632742534,5.414903438734429,1.477404,57.760765075683594,0.9938574751722762
40,33.98590502850223,17.844556072056317,0.448316,25.971071243286133,0.9947178479926456
40,34.095669257921,16.306297492091446,0.490608,25.322895050048828,0.9937987279355565
40,31.2561382216927,8.69387559933405,0.920188,48.69300079345703,0.9930743615791313
40,29.707965456495767,5.44675659261801,1.468764,69.54788208007812,0.9954731630698257
40,32.193088796963124,10.53496555066265,0.759376,39.243839263916016,0.9926122067702772
40,30.89801674263881,7.027653817772936,1.13836,52.87844467163086,0.992715841628662
80,26.14616712814032,10.422257773701517,0.767588,157.92962646484375,0.9924962571594304
80,28.379853764999442,18.878966942928884,0.423752,94.42674255371094,0.9918875557159491
80,27.188181181384095,14.794540814439472,0.54074,124.24022674560547,0.9945034738174527
80,29.142291950001784,20.341534361936922,0.393284,79.22296905517578,0.990684745468529
80,30.630064507252747,28.546959748786755,0.28024,56.24371337890625,0.992015746124864
80,27.46905607755847,17.3816310922617,0.460256,116.45945739746094,0.9889703160440835
80,29.956861622409715,26.153021327788892,0.305892,65.67411041259766,0.9912936133794552
80,27.46995963082203,23.317904653087872,0.343084,116.43523406982422,0.9905178846529019
80,31.524729217716132,59.642739987475025,0.134132,45.772796630859375,0.9890354141315127
80,29.707047272710998,24.37924351207382,0.328148,69.56257629394531,0.9918026471363045
80,29.57572566403612,22.00534729939375,0.363548,71.69812774658203,0.9913563876689173
80,27.230913078852666,11.51052637637119,0.695016,123.02375793457031,0.992606364194232
80,30.907980042371367,35.99258552738136,0.222268,52.75728225708008,0.9926953051343611
80,31.427978916195052,33.73705340575554,0.237128,46.8039436340332,0.9919826568882781
80,28.116187103163032,18.8063603110572,0.425388,100.33712768554688,0.9914108708150602
80,25.805189951040845,10.642656832851753,0.751692,170.82887268066406,0.9932033011673165
80,29.00458260513085,21.351781272352646,0.374676,81.77529907226562,0.9907196976869332
80,27.823927256663545,15.67066529809523,0.510508,107.32170867919922,0.9907319790613697
120,24.43655375218263,17.50393838613688,0.45704,234.11270141601562,0.9924904564473527
120,26.665112927777542,30.022366663164057,0.266468,140.1422576904297,0.9928539789611813
120,25.132439465252215,22.895083280865435,0.34942,199.45106506347656,0.993413312074097
120,26.945777335791,31.01304098373366,0.257956,131.3719482421875,0.9906324609169191
120,28.809011441170533,45.13144533453684,0.17726,85.5419692993164,0.9876207302552473
120,25.98879666504933,31.169155004207838,0.256664,163.75730895996094,0.9891600385292689
120,27.953503025972314,39.78595158049693,0.201076,104.16698455810547,0.989598868923075
120,26.11186074115411,41.95070791819612,0.1907,159.18212890625,0.9890404279693348
120,30.3145155202494,97.23370120083621,0.082276,60.482364654541016,0.9896995313282326
120,27.972734658935092,40.44162251789542,0.197816,103.70671081542969,0.9900482878584365
120,27.566317484037608,36.996614809744905,0.216236,113.88031005859375,0.9904260416721107
120,25.295652332439474,18.61989349420921,0.429648,192.09457397460938,0.9901929216388314
120,29.19520093271339,51.27679212388473,0.156016,78.263671875,0.9893654773193279
120,29.419684783569238,49.81444120650577,0.160596,74.32105255126953,0.9914802817595089
120,26.598089792945956,30.500823522235102,0.262288,142.32179260253906,0.9905423967763187
120,23.67694368014622,17.670810471722284,0.452724,278.85980224609375,0.9924054623002085
120,27.28348531279073,34.13843133907997,0.23434,121.54354095458984,0.9888416829777374
120,26.118653967316764,25.563352378030856,0.312948,158.93331909179688,0.9905754117028163
160,23.217035896489527,25.57250444322265,0.312836,310.0107727050781,0.9909953815483009
160,25.21244602510873,41.437036423155014,0.193064,195.81040954589844,0.9910990189673459
160,23.731748117693368,31.541761291950543,0.253632,275.3630065917969,0.9937030167751018
