factor,PSNR,CR,BPP,MSE,Entropy
0.2,37.92553394687612,2.5558322207825146,4.402236840619073,11.608297397563984,0.9971074928833119
0.5,34.97068392820141,4.204708446657696,2.5086284129976875,24.426942181277585,0.9968059272125417
1.0,33.07557519165955,6.428380677939074,1.5745246667362156,38.77234704153879,0.9964408112538624
2.0,31.260405598813346,10.307815098345356,0.9566510945518436,58.808133979896446,0.9957740311564159
4.0,29.223229586408205,17.6945666442969,0.5496721723132357,91.9881102574336,0.9941310588037751
6.0,27.870999632354124,24.67168581009608,0.38882023252121245,123.83876656866693,0.9923212132269321
8.0,26.833097886748124,31.41863666164891,0.30261839186390505,155.0274241558917,0.990092711033917
12.0,25.2035673296969,44.352628866929244,0.21231704311375862,220.05571132511287,0.9838406347210777
