factor,PSNR,CR,BPP,MSE,Entropy
0.2,36.655061188799245,1.1497411357832783,6.958088,14.046698570251465,0.9977916230656001
0.2,38.190787852091695,1.5805841048559495,5.06142,9.862831115722656,0.9974013351437614
0.2,38.45675016798289,1.861493699774573,4.297624,9.27695369720459,0.9974058104112968
0.2,38.703552064379004,1.7609710698867784,4.542948,8.764458656311035,0.9969944707958183
0.2,39.3532304157559,1.8669342605773493,4.2851,7.546704292297363,0.9973378983010722
0.2,37.79785715945736,1.4990188921350975,5.336824,10.796791076660156,0.9975944468483957
0.2,39.144519783248754,1.8417834357364924,4.343616,7.918234348297119,0.9975334885338261
0.2,37.294029273421245,2.1152560729001855,3.782048,12.12488079071045,0.9969085279602605
0.2,39.569016503093266,2.6475828892013036,3.021624,7.180897235870361,0.996384468378486
0.2,39.01685180600247,2.1236134131670403,3.767164,8.154459953308105,0.9967763815683235
0.2,39.35439449171609,2.4971875425302255,3.203604,7.544681549072266,0.9970387973755425
0.2,37.72576824229108,1.2230560746749117,6.540992,10.977500915527344,0.9975986094724164
0.2,39.0510098670144,2.1151867233959747,3.782172,8.090575218200684,0.9971140735615679
0.2,39.13961794723892,2.021345407503234,3.95776,7.927177429199219,0.9973349827789644
0.2,38.20932621511302,1.5712412570244305,5.091516,9.820818901062012,0.9973834281942658
0.2,37.0759408055444,1.4404562212944083,5.553796,12.749298095703125,0.9973977133891558
0.2,39.37745298587234,1.7093768723018554,4.680068,7.504729270935059,0.9976836880325323
0.2,38.2486297296432,1.2918736625070488,6.192556,9.732343673706055,0.9975146054414891
0.5,33.23195729884861,1.8538378614867965,4.315372,30.894746780395508,0.9978487576299355
0.5,35.696545162244256,2.6691400697980128,2.99722,17.51563262939453,0.9972720065420162
0.5,35.47113609536061,2.9796445582006523,2.684884,18.448740005493164,0.997427381025326
0.5,36.65920182864663,2.959937249330314,2.70276,14.033310890197754,0.9972803291456378
0.5,37.589258906504064,3.119029981675699,2.5649,11.328031539916992,0.9974027372717684
0.5,34.99799203177177,2.4671772901264797,3.242572,20.572221755981445,0.9973886984963451
0.5,37.3460858439308,3.0397908623886676,2.63176,11.980413436889648,0.9971231968554586
0.5,33.85567212274892,3.850730290999688,2.077528,26.761667251586914,0.9976498018289375
0.5,38.85396888611136,5.388134250752992,1.484744,8.466100692749023,0.997136721720169
0.5,37.11789751713696,3.8501446691859447,2.077844,12.62672233581543,0.9972163159831284
0.5,36.738029019962774,4.42535640714164,1.807764,13.78089714050293,0.9969984129092626
0.5,34.93926081272622,1.937689711933359,4.128628,20.852313995361328,0.9972865175233075
0.5,37.50455975476975,3.768600398341062,2.122804,11.551128387451172,0.9970258687044018
0.5,37.67277259416486,3.538889744120577,2.260596,11.11227798461914,0.9971249828390052
0.5,35.72777333253529,2.5962932720954295,3.081316,17.390138626098633,0.9975261450335233
0.5,33.1270282125801,2.364354052561955,3.383588,31.65028190612793,0.9967838993204383
0.5,37.75168765578652,2.7493222920550084,2.909808,10.912181854248047,0.9976062442602325
0.5,36.066565836802624,2.032016451205189,3.936976,16.085102081298828,0.9978394736994626
1.0,30.966364927410055,2.7461173333553024,2.913204,52.05277633666992,0.9975142259570343
1.0,33.66970477761987,4.073328051584626,1.963996,27.932504653930664,0.9971650122376512
1.0,32.968433447392144,4.349338900487126,1.83936,32.82744216918945,0.9971623063992832
1.0,34.915211429701635,4.422029667397038,1.809124,20.96810531616211,0.997011976563045
1.0,36.08788346493603,4.698166305690889,1.702792,16.006338119506836,0.996821399881795
1.0,32.89216000664495,3.7454305746988674,2.135936,33.4090690612793,0.9971688896967161
1.0,35.67283517165064,4.5322800314540235,1.765116,17.61151885986328,0.996892027071266
1.0,31.824206501422875,6.056806790891774,1.320828,42.72280502319336,0.996722655700996
1.0,38.028506421206664,8.901113084191179,0.898764,10.238344192504883,0.9964170566632164
1.0,35.12387813017027,5.934313088424232,1.348092,19.984464645385742,0.9969327157910254
1.0,34.51086642882158,6.642841010243261,1.204304,23.014089584350586,0.9961456981130934
1.0,32.87687703404395,2.856665385928352,2.800468,33.52684783935547,0.9972470977152694
1.0,36.16951571214254,5.846175432032364,1.368416,15.70828628540039,0.9973363917982658
1.0,36.320434739121616,5.52544189721573,1.447848,15.171792030334473,0.9969888275108532
1.0,33.87180558928958,3.8808652000877077,2.061396,26.662433624267578,0.9972327659723867
1.0,30.4137017513254,3.5889245787499777,2.22908,59.11670684814453,0.9970219451239536
1.0,36.01833434498432,4.074083127592135,1.963632,16.264732360839844,0.9972538023829712
1.0,34.23957878625319,2.957061981497663,2.705388,24.497541427612305,0.9974161527407819
2.0,28.910241971234942,4.183794073655695,1.91214,83.57110595703125,0.9971728745133157
2.0,31.584200513972583,6.393126110805662,1.251344,45.15026092529297,0.9966533804279938
2.0,30.39137665864567,6.534879921581441,1.2242,59.4213752746582,0.9962018782037096
2.0,32.783199844690486,6.642554194939038,1.204356,34.25787353515625,0.9963784330467812
2.0,34.10132019631307,7.297911702566311,1.096204,25.28997230529785,0.9967821585443332
2.0,30.862251075928118,5.941805952501203,1.346392,53.31572341918945,0.997101360363378
2.0,33.638166578581696,6.89731280693042,1.159872,28.136083602905273,0.9964798420996102
2.0,30.049034222179824,9.35781962802667,0.8549,64.29496002197266,0.9956476797851863
2.0,36.26253445193316,13.134822384364307,0.609068,15.37541675567627,0.9957681373161171
2.0,33.03246673501158,8.907733694393473,0.898096,32.34697723388672,0.9963098172564585
2.0,32.28552688386407,10.069885001913278,0.794448,38.41737747192383,0.9956373154573994
2.0,30.68558139022108,4.422596816172552,1.808892,55.529296875,0.9969363310656901
2.0,34.34969404095504,9.075439591605218,0.8815,23.88421058654785,0.9969507429024373
2.0,34.5567791156025,8.887466894185819,0.900144,22.772064208984375,0.9969515506302695
2.0,31.838102764070577,5.970309650110003,1.339964,42.58631896972656,0.9967517516634686
2.0,28.12166808606883,5.594123932221595,1.430072,100.21056365966797,0.9963829130371742
2.0,33.743050945320334,6.242703839887132,1.281496,27.464725494384766,0.9965585153340925
2.0,32.02180625249777,4.524057808410676,1.768324,40.822509765625,0.9965327793531309
4.0,26.89001728620047,6.63807867450845,1.205168,133.0695343017578,0.9963188685042622
4.0,29.376524948114792,10.385887655853226,0.770276,75.06334686279297,0.9958671814577746
4.0,27.85240060159518,10.284679940760244,0.777856,106.62040710449219,0.9952533640668075
4.0,30.302116020882547,10.458281913447259,0.764944,60.655303955078125,0.9955716527514498
4.0,31.828685672793675,11.77384792898015,0.679472,42.67876052856445,0.9956833289093696
4.0,28.674489225054643,9.700073720560276,0.824736,88.23307037353516,0.9963222390134427
4.0,31.153709303895198,10.989735586961778,0.727952,49.855079650878906,0.9958590555507989
4.0,28.225168628526056,15.289935400022935,0.52322,97.85059356689453,0.995714625681154
4.0,33.698455641468584,19.45790282723328,0.411144,27.748199462890625,0.9887913729586525
4.0,30.57886123926753,13.691596782474756,0.5843,56.910743713378906,0.9921536488084934
4.0,29.82730149059034,16.13267512018843,0.495888,67.66283416748047,0.9949390385410808
4.0,28.27972103353806,7.311732039644211,1.094132,96.62916564941406,0.9955988490066066
4.0,32.126765566949885,14.074892503008508,0.568388,39.84775161743164,0.9953595027251229
4.0,32.420989868451564,14.423146265126274,0.554664,37.237571716308594,0.9956116961102328
4.0,29.502357714487566,9.546676086053738,0.837988,72.9196548461914,0.9952005012481454
4.0,25.88862816326879,9.115687186078523,0.877608,167.57821655273438,0.9958776804687246
4.0,30.986814510092895,10.115877375334456,0.790836,51.80824661254883,0.9956241257746318
4.0,29.55312329844187,7.421976472334583,1.07788,72.0722427368164,0.996343994202866
6.0,25.593060380119745,8.970580979677148,0.891804,179.38014221191406,0.9960258127055602
6.0,27.953227349020594,14.157688332649045,0.565064,104.173583984375,0.9965171557006423
6.0,26.25433111235946,13.692252923296,0.584272,154.04486083984375,0.9944362275113239
6.0,28.61020804808622,14.068754000801919,0.568636,89.54875183105469,0.995220668558983
6.0,30.333672551938406,15.84622820153233,0.504852,60.216163635253906,0.9956865563844981
6.0,27.279556116970987,13.330756053829592,0.600116,121.65353393554688,0.9969781870155501
6.0,29.523470630266534,14.723854116053419,0.543336,72.5660171508789,0.9958950358891864
6.0,27.051204953926838,20.88903743315508,0.382976,128.22120666503906,0.9915638083507029
6.0,31.734980194986523,25.686470935758138,0.311448,43.609622955322266,0.9871566557658504
6.0,29.136284934181237,17.808646097680423,0.44922,79.33263397216797,0.9903230563168471
6.0,28.403934699039883,21.66096261317853,0.369328,93.90460205078125,0.9922204770669107
6.0,26.788749157517927,10.11946022799144,0.790556,136.20887756347656,0.9945875709802806
6.0,30.65361411613737,18.697704856728837,0.42786,55.93954086303711,0.9936873959414345
6.0,31.008918498769503,18.88877345749554,0.423532,51.545230865478516,0.9929582338212064
6.0,27.944512468107536,12.880954221088698,0.621072,104.38285827636719,0.9949404923860689
6.0,24.537871844026252,12.426142117787402,0.643804,228.71420288085938,0.9945626751291166
6.0,29.14752457621732,13.882526064442686,0.576264,79.12760162353516,0.9956965224587182
6.0,27.986030482938325,10.268363684904992,0.779092,103.38970947265625,0.9949190838243875
8.0,24.637028806941792,11.246506553901694,0.711332,223.5514373779297,0.9952009182454714
8.0,26.885961331319578,17.642129405019187,0.45346,133.19387817382812,0.9944527265238161
8.0,25.046001227463623,17.11273872270518,0.467488,203.4605712890625,0.9955662604632074
8.0,27.2172477234705,17.497506605308743,0.457208,123.4114990234375,0.9939135373857912
8.0,29.028336296594656,19.560093497246918,0.408996,81.32925415039062,0.9920994534324965
8.0,26.174100271619626,17.137226339916886,0.46682,156.91712951660156,0.9951307992401184
8.0,28.21779987748537,18.204656751196957,0.439448,98.01676940917969,0.9953857633982244
8.0,26.18987671694585,26.062367244816848,0.306956,156.34815979003906,0.9867845094242713
8.0,29.64092910995825,30.780595912336864,0.259904,70.62971496582031,0.9857669339769944
8.0,27.64458349934881,21.98599492123517,0.363868,111.84642028808594,0.9925268239647322
8.0,27.240280772126695,26.055576544769995,0.307036,122.75870513916016,0.985908275581991
8.0,25.672646042629196,12.909305672994378,0.619708,176.1228790283203,0.9944661207209684
8.0,29.323327129055116,22.527088824311235,0.355128,75.98846435546875,0.9925148691861665
8.0,29.588264477752148,22.872827081427264,0.34976,71.49140930175781,0.9907932120296228
8.0,26.76288929206915,16.143092370774546,0.495568,137.02235412597656,0.9951835045556464
8.0,23.52108657391576,15.871756209824618,0.50404,289.0491943359375,0.9944880523476238
8.0,27.858823355678467,17.638239703677574,0.45356,106.46282958984375,0.994803791757125
8.0,26.812863521306486,13.046059111693834,0.613212,135.45468139648438,0.9945449933114965
12.0,23.26489699527892,15.768269511262487,0.507348,306.61309814453125,0.9941945862268526
12.0,25.303439679206832,24.20662777468471,0.330488,191.75042724609375,0.9907937401851479
12.0,23.162762066743085,23.720571665777147,0.33726,313.90924072265625,0.9905203454226084
12.0,25.501902199529844,24.140303443614286,0.331396,183.18508911132812,0.9920364013719658
12.0,27.090535268721652,26.94364736154333,0.296916,127.06526184082031,0.9920264114975934
12.0,24.55222957046977,23.21855627017112,0.344552,227.95933532714844,0.9912191583903036
12.0,26.374303455169606,24.93827776253772,0.320792,149.84768676757812,0.9917316155884437
12.0,24.792092202188293,35.09141313120679,0.227976,215.71043395996094,0.9762553065598039
12.0,28.365341316905038,38.23287645045975,0.209244,94.74280548095703,0.9754702901041838
12.0,26.135227732178574,29.065965208039646,0.275236,158.32797241210938,0.9833781303346163
12.0,25.810285178802125,35.77049649449135,0.223648,170.6285858154297,0.9710676504929037
12.0,24.02799195969405,18.64054504953725,0.429172,257.20599365234375,0.9937711501578126
12.0,27.319945490518283,29.558688776565873,0.270648,120.52740478515625,0.9881070302845567
12.0,27.66065392429702,30.185489835036297,0.265028,111.43328857421875,0.987228928907159
12.0,25.0622947576565,22.960530847473194,0.348424,202.6986541748047,0.9931266558221665
12.0,22.002821447959498,22.618293675925088,0.353696,410.0135803222656,0.988848571953121
