Q,PSNR,CR,BPP,MSE,Entropy
5,39.89295461106961,2.9387709344810418,2.7222264607747397,6.66476583480835,0.9963945773297551
5,39.61768373650239,1.5024078334466047,5.324785868326823,7.100877285003662,0.9973471847839086
5,39.57761160287522,1.3967238532309691,5.727689107259114,7.166698455810547,0.9972943015080018
5,39.96148050802055,2.440595910678569,3.277887980143229,6.560428142547607,0.9960165193262909
5,39.52331127694671,1.7819166833771203,4.4895477294921875,7.256868362426758,0.9959969872717331
5,39.801306945715304,1.9700459487505786,4.060818990071614,6.806904315948486,0.9956959283973548
5,39.74671608453711,1.8730424686285894,4.271125793457031,6.893007278442383,0.9962025262634333
5,39.65686746348834,1.9435758214573013,4.1161244710286455,7.037097930908203,0.9960299438300277
5,39.595076013889795,1.890653557963519,4.231341044108073,7.137937068939209,0.9951961710838049
5,39.73838165278708,2.279681541679168,3.5092620849609375,6.906247615814209,0.9967133414425093
5,39.50875143870688,1.275390617081333,6.2725880940755205,7.281239986419678,0.9961953942474417
5,39.53632509620702,1.4815640942555932,5.399698893229167,7.23515510559082,0.9962645393060685
5,40.51285188420682,2.8472378228423247,2.8097407023111978,5.778234481811523,0.9952864661772889
5,39.73331241777381,1.5581851171043188,5.134178161621094,6.9143147468566895,0.9961622522948019
5,39.70655466218192,2.5827249529552017,3.097503662109375,6.9570465087890625,0.9955735679847467
5,39.5945679926499,2.1484718304568458,3.723576863606771,7.138772487640381,0.9968962407761153
5,39.68660528955195,2.313669852099142,3.4577102661132812,6.989076614379883,0.9967117080177208
5,39.977170813756835,2.765793687009229,2.8924789428710938,6.536770343780518,0.9957702558473707
5,39.74695548236282,1.6193498669557658,4.940254211425781,6.892627716064453,0.9975190001798618
5,39.68910287971547,2.2854253394651383,3.5004425048828125,6.985060214996338,0.9960961570257771
5,40.01212967153143,3.0926275843762596,2.586797078450521,6.484364032745361,0.9962008458604652
5,39.642753749610726,1.6615044306214384,4.814913431803386,7.0600056648254395,0.9958309777626708
5,39.635400050260856,2.408896995816611,3.3210220336914062,7.071969509124756,0.9961585073501855
5,39.625710341962225,2.094317690059453,3.819859822591146,7.087765216827393,0.9956968054320366
10,38.575704315291695,5.825756663808478,1.373212178548177,9.0263032913208,0.9955192594775488
10,37.19749830163029,2.1604888923686802,3.7028656005859375,12.397396087646484,0.9963711776098674
10,36.960631113855726,2.026561460178103,3.9475733439127603,13.092338562011719,0.9948863046983207
10,37.9512356722908,3.970610398445951,2.0148035685221353,10.422135353088379,0.9955070584950481
10,37.24941485805786,2.9151079776705293,2.74432373046875,12.250076293945312,0.9958052643796852
10,37.622736367274776,3.0637512089033723,2.6111780802408853,11.241045951843262,0.9950188154737029
10,37.448212549185726,2.8770779676890657,2.7805989583333335,11.701973915100098,0.995915692022413
10,37.58010035912629,3.2137568040276574,2.4892985026041665,11.351944923400879,0.9961960184960819
10,37.54267016487055,3.2769262982010763,2.4413121541341147,11.450209617614746,0.9953671109347433
10,37.89514518181144,3.7070581608290576,2.158045450846354,10.557615280151367,0.9967570165711633
10,36.663110619609085,1.7791099948137796,4.496630350748698,14.020687103271484,0.9951198401940837
10,36.98504005347603,2.2822037285988626,3.5053838094075522,13.018961906433105,0.9965031249428287
10,38.73993412597241,4.602583873469208,1.7381540934244792,8.691344261169434,0.9956158738959224
10,37.06098794911904,2.200871749305609,3.634923299153646,12.793270111083984,0.995613026203839
10,37.92519716375606,4.56820221488381,1.7512359619140625,10.484810829162598,0.9942918391674873
10,37.60418206069779,3.5550653325166297,2.250310262044271,11.289175987243652,0.9966336881415769
10,37.84869438152225,3.992395263538639,2.003809611002604,10.671143531799316,0.9969240539069721
10,38.337576828242696,4.542902076542822,1.7609888712565105,9.53504467010498,0.9944284162192416
10,37.37495391331359,2.377419664457072,3.3649927775065103,11.901043891906738,0.9960945985593841
10,37.93121454930359,4.261707160449672,1.8771820068359375,10.470295906066895,0.9938585581115953
10,38.56655594824883,5.190473519036132,1.5412851969401042,9.045337677001953,0.9962676213063824
10,37.137185301252586,2.464143455942773,3.2465642293294272,12.570770263671875,0.9960544501780184
10,37.990627829018784,4.8616609586924,1.6455281575520833,10.328032493591309,0.9940899292596097
10,37.637340628670955,3.4694024303357427,2.305872599283854,11.20330810546875,0.9941777884129763
20,36.747870132523545,10.596493355565661,0.7549667358398438,13.749702453613281,0.9939621146584874
